Organization Name,URL,Description,Phone Number,Address
"  Plano, TX 75023","undefined","individuals diagnosed with a serious","undefined","undefined"
"call 972-517-2171","undefined","mental illness, substance use disorder, or","undefined","undefined"
"Or book online","undefined","both. They provide treatment for adults","undefined","undefined"
"Women’s Veteran Health Program","undefined","and early childhood intervention for","undefined","undefined"
"VA North T exas Healthcare Sys  tem","undefined","developmentally delayed infants and their","undefined","undefined"
" ","undefined","families.  Children aged 3-17 and adults of","undefined","undefined"
"screening of chronic conditions.","undefined","any age.","undefined","undefined"
"1-800-849-3597","undefined","Crisis Hotline","undefined","undefined"
" Wylie Children’s Medical Clinic","undefined","","undefined","undefined"
"childrens-medical-clinic ","undefined","","undefined","undefined"
"  Wylie, TSX 75098 ","undefined","Plano","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
"Treatment of illnesses.  ","undefined","","undefined","undefined"
" ","undefined","McKinney","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
"Wylie","undefined","Medical City Green Oaks Hospital","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","Locations:","undefined","undefined"
" ","undefined","Dallas","undefined","undefined"
" ","undefined","Plano","undefined","undefined"
" ","undefined","Los Colinas","undefined","undefined"
" ","undefined","","undefined","undefined"
"27 ","undefined","","undefined","undefined"
"received. ","undefined","","undefined","undefined"
"Big Brothers, Big Sisters","undefined","Offers mental health services to include","undefined","undefined"
"mentor, and child’s family.","undefined","adult day treatment, outpatient","undefined","undefined"
"214-441-2227","undefined","counseling services, drug and alcohol","undefined","undefined"
"Office ","undefined","treatment.  Inpatient psychiatric care for","undefined","undefined"
"Collin County Veteran Services","undefined","adults and adolescents and an integrated","undefined","undefined"
"  www.co.collin.tx.us/veterans ","undefined","Behavioral Health Clinic for outpatient","undefined","undefined"
" ","undefined","counseling services.","undefined","undefined"
"Provides assistance in application process","undefined","Dallas","undefined","undefined"
"972-881-3060","undefined","Metrocare Services","undefined","undefined"
"Texas Eating Disorder Association","undefined","","undefined","undefined"
"  Http://texaseatingdisorderassociation.org ","undefined","","undefined","undefined"
"  Dallas, TX 75204 ","undefined","Dallas, TX 75247","undefined","undefined"
"services.","undefined","Services for those with developmental and","undefined","undefined"
"866-837-1999 ","undefined","mental health challenges. Provides services","undefined","undefined"
"info@yourteda.org","undefined","and programs for children through adults","undefined","undefined"
" ","undefined","including outpatient clinics, rehabilitative","undefined","undefined"
"Friends Place (Adult Day services)","undefined","programs, housing and homeless services,","undefined","undefined"
" ","undefined","24-hour emergency services, hospital","undefined","undefined"
"www.friendsplaceads.com/richardson","undefined","liaison services, intensive family services,","undefined","undefined"
"  Desoto ","undefined","and long-term support services.","undefined","undefined"
"  Richardson","undefined","","undefined","undefined"
"Assistance Program","undefined","Mosaic Family Services","undefined","undefined"
" ","undefined","","undefined","undefined"
"Payment-Assistance-Program ","undefined","home@mosaicservices.org","undefined","undefined"
"972-292-5108 ","undefined","","undefined","undefined"
"Green Path (Formerly known as","undefined","","undefined","undefined"
"of N. Central Texas) ","undefined","Dallas, TX","undefined","undefined"
"and more.","undefined","","undefined","undefined"
"1-800-550-1961","undefined","Multicultural Counseling Program","undefined","undefined"
"  HHSC’S Medical Transportation ","undefined","offers a culturally-sensitive counseling","undefined","undefined"
"  Program        ","undefined","model that meets the unique needs of","undefined","undefined"
"transportation-program ","undefined","foreign born survivors of human rights","undefined","undefined"
"to and from the doctor, dentist or hospital. ","undefined","abuse. Services include Legal Representation,","undefined","undefined"
"1-877-633-8747","undefined","shelter, counseling, client advocacy and","undefined","undefined"
"Reservation Line ","undefined","community education.","undefined","undefined"
"28 ","undefined","","undefined","undefined"
" Islamic Association of Collin County","undefined","","undefined","undefined"
" ","undefined","24 HR Crisis","undefined","undefined"
"ces-38903/medical-86221 ","undefined","","undefined","undefined"
" 6401 Independence Pkwy ","undefined","","undefined","undefined"
"469-248-7903","undefined","","undefined","undefined"
"Plano (APPT ONLY) ","undefined","","undefined","undefined"
"Journey of Hope","undefined","Richland Oaks Counseling Center","undefined","undefined"
"www.johgriefsupport.org ","undefined","","undefined","undefined"
"death.","undefined","Richardson, TX 75081","undefined","undefined"
"972-964-1600","undefined","","undefined","undefined"
"Legacy Adoption & Surrogacy","undefined","McKinney, TX 75070","undefined","undefined"
"  www.legacyas.com","undefined","","undefined","undefined"
"adoptions, and surrogacy.","undefined","Provides psychotherapy for individuals,","undefined","undefined"
"Legal Aid of North West Texas","undefined","couples, and families and marital and pre-","undefined","undefined"
"throughout North and West Texas.","undefined","marital counseling. Psycholo","undefined","undefined"
"972-542-9405","undefined","gical testing and","undefined","undefined"
"McKinney ","undefined","evaluation also provided.","undefined","undefined"
"Denton","undefined","","undefined","undefined"
"Life Path Systems","undefined","They offer a sliding scale and payment plans.","undefined","undefined"
"Early Childhood Services","undefined","Clinicians are fluent in Spanish, Vietnamese,","undefined","undefined"
" ","undefined","Urdu, Punjabi, Hindu, and Korean.","undefined","undefined"
"introduction","undefined","","undefined","undefined"
"more.","undefined","Therapy","undefined","undefined"
" ","undefined","Appointments","undefined","undefined"
"972-377-7289","undefined","","undefined","undefined"
"Allen","undefined","Assessment","undefined","undefined"
"Rockwall","undefined","Appointments","undefined","undefined"
"services ","undefined","","undefined","undefined"
"services/foster-in- texas","undefined","","undefined","undefined"
"972-620-0581","undefined","","undefined","undefined"
"Dallas","undefined","13","undefined","undefined"
"North Texas Job Corps","undefined","","undefined","undefined"
"aspx","undefined","SMU Center for Family Counseling","undefined","undefined"
"technical and academic training.","undefined","SMU East Center for Family Counseling","undefined","undefined"
"800-733-JOBS ","undefined","6116 N. Central Expressway, Suite 410","undefined","undefined"
"972-542-2623","undefined","Dallas, TX 75206","undefined","undefined"
"Texas Advocacy Project","undefined","Provides counseling for families, couples,","undefined","undefined"
"www.texasadvocacyproject.org","undefined","blended families, parent/child, sibling issues","undefined","undefined"
"violence, sexual assault, and stalking.","undefined","and other relationship concerns.","undefined","undefined"
"Family Violence","undefined","Individual counseling includes personal,","undefined","undefined"
"                    (4673) ","undefined","social and career related counseling.","undefined","undefined"
" ","undefined","Adolescent, Group Counseling and Play","undefined","undefined"
"29 ","undefined","Therapy for Children are also offered.","undefined","undefined"
"Texas Home Visiting","undefined","","undefined","undefined"
"me_Visiting/default.asp ","undefined","Collin College","undefined","undefined"
"972-578-8100","undefined","Students only pay","undefined","undefined"
"Program Manager,","undefined","$5","undefined","undefined"
"Dallas","undefined","","undefined","undefined"
" ","undefined","STARRY Counseling","undefined","undefined"
"Texas Department of Human","undefined","","undefined","undefined"
"Serv  ic es ","undefined","","undefined","undefined"
"1-800-448-3927","undefined","info.mckinney@starry.org","undefined","undefined"
"Texas Law Help","undefined","","undefined","undefined"
"other helpful organizations. ","undefined","","undefined","undefined"
" ","undefined","","undefined","undefined"
" ","undefined","McKinney, TX 75069","undefined","undefined"
